黑龙江移动,#genre#
CCTV1,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226559/index.m3u8
CCTV2,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221225588/index.m3u8
CCTV2,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226540/index.m3u8
CCTV3,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226473/index.m3u8
CCTV11,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226565/index.m3u8
CCTV12,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226568/index.m3u8
CCTV13,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226571/index.m3u8
CCTV14,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226591/index.m3u8
CCTV15,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226476/index.m3u8
CCTV16,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221225765/index.m3u8
黑龙江卫视,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226327/index.m3u8
哈尔滨新闻,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226434/index.m3u8
佳木斯新闻综合,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226451/index.m3u8
黑龙江农业科教,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226242/index.m3u8
黑龙江少儿,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226304/index.m3u8
黑龙江影视,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226298/index.m3u8
黑龙江文体,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226239/index.m3u8
黑龙江新闻法治,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226330/index.m3u8
黑龙江都市,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226301/index.m3u8
鹤岗新闻综合,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226534/index.m3u8
北京卫视,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226450/index.m3u8
东方卫视,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226345/index.m3u8
湖南卫视,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226307/index.m3u8
江苏卫视,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226310/index.m3u8
浙江卫视,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226339/index.m3u8
吉林卫视,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226397/index.m3u8
辽宁卫视,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226546/index.m3u8
天津卫视,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226459/index.m3u8
河南卫视,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226480/index.m3u8
河北卫视,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226406/index.m3u8
山东卫视,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226456/index.m3u8
安徽卫视,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226391/index.m3u8
湖北卫视,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226477/index.m3u8
四川卫视,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226338/index.m3u8
重庆卫视,http://39.134.65.106/ottrrs.hl.chinamobile.comPLTV/88888888/224/3221226409/index.m3u8
